facility_id,facility_name,city,state,hospital_type,record_source,measure_code,condition_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,is_suppressed
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.0233,20.5695,20.101,653,136,False
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.0087,20.9512,20.77,164,35,False
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,Acute Care Hospitals,hospital_info,CABG,Coronary artery bypass graft surgery,1.0027,11.1697,11.1399,,,True
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,Acute Care Hospitals,hospital_info,COPD,Chronic obstructive pulmonary disease,1.052,19.1045,18.1604,174,37,False
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,Acute Care Hospitals,hospital_info,HIP-KNEE,Hip/knee replacement,1.0527,6.083,5.7783,,,True
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,Acute Care Hospitals,hospital_info,COPD,Chronic obstructive pulmonary disease,1.0232,16.5931,16.2168,,,True
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.062,19.6947,18.5446,39,12,False
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.0345,16.336,15.7913,84,16,False
010008,CRENSHAW COMMUNITY HOSPITAL,,AL,,hrrp_fallback,PN,Pneumonia,1.0017,13.4114,13.3883,,,True
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,Acute Care Hospitals,hospital_info,CABG,Coronary artery bypass graft surgery,1.1213,12.5649,11.2054,63,11,False
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.0373,19.906,19.1894,268,56,False
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.0102,16.1282,15.9654,281,46,False
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Acute Care Hospitals,hospital_info,AMI,Heart attack,1.0565,11.4786,10.865,,,True
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.084,19.6001,18.0817,98,25,False
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.0206,15.253,14.9444,142,23,False
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,Acute Care Hospitals,hospital_info,AMI,Heart attack,1.027,14.8776,14.4868,,,True
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,Acute Care Hospitals,hospital_info,CABG,Coronary artery bypass graft surgery,1.0875,12.3307,11.339,,,True
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,Acute Care Hospitals,hospital_info,HF,Heart failure,1.0053,20.1019,19.9957,212,43,False
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,Acute Care Hospitals,hospital_info,HIP-KNEE,Hip/knee replacement,1.1004,6.2549,5.6843,,,True
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.0292,16.7023,16.2284,216,38,False
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,Acute Care Hospitals,hospital_info,COPD,Chronic obstructive pulmonary disease,1.0327,17.547,16.991,169,32,False
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,Acute Care Hospitals,hospital_info,HIP-KNEE,Hip/knee replacement,1.2168,5.4095,4.4458,,,True
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.0061,13.8755,13.7919,235,33,False
010021,DALE MEDICAL CENTER,OZARK,AL,Acute Care Hospitals,hospital_info,PN,Pneumonia,1.002,13.9025,13.8749,,,True
