state,facilities_with_results,reported_results,penalized_results,avg_excess_ratio,penalty_rate
AK,8,36,15,0.9871,0.4167
AL,67,247,130,1.0139,0.5263
AR,40,156,82,1.0003,0.5256
AZ,57,232,115,1.0009,0.4957
CA,253,1038,573,1.0101,0.552
CO,45,183,49,0.9674,0.2678
CT,25,112,52,0.9967,0.4643
DC,6,28,9,0.9921,0.3214
DE,6,31,9,0.9787,0.2903
FL,164,771,443,1.0229,0.5746
GA,88,346,193,1.0114,0.5578
HI,11,42,18,0.9837,0.4286
IA,29,131,37,0.9716,0.2824
ID,14,56,11,0.9432,0.1964
IL,109,491,284,1.0194,0.5784
IN,76,321,145,0.9976,0.4517
KS,42,157,47,0.9662,0.2994
KY,59,227,123,1.0101,0.5419
LA,67,222,114,1.008,0.5135
MA,52,240,150,1.0344,0.625
MD,41,195,79,0.9859,0.4051
ME,13,49,10,0.9515,0.2041
MI,83,362,174,1.0054,0.4807
MN,44,175,54,0.9778,0.3086
MO,63,284,135,1.0011,0.4754
MS,50,185,113,1.0141,0.6108
MT,10,53,10,0.9541,0.1887
NC,77,335,146,0.9937,0.4358
ND,7,35,6,0.9466,0.1714
NE,22,93,33,0.9787,0.3548
NH,13,63,28,0.9954,0.4444
NJ,61,272,178,1.0277,0.6544
NM,23,76,29,0.9839,0.3816
NV,19,94,48,1.0114,0.5106
NY,124,520,274,1.0019,0.5269
OH,111,481,250,1.0085,0.5198
OK,64,226,92,0.998,0.4071
OR,32,131,30,0.9599,0.229
PA,126,545,278,1.0069,0.5101
RI,9,37,13,0.9892,0.3514
SC,51,202,93,1.0067,0.4604
SD,15,49,17,0.965,0.3469
TN,71,285,145,1.0054,0.5088
TX,244,898,445,1.0043,0.4955
UT,29,99,20,0.9559,0.202
VA,69,302,134,0.9943,0.4437
VT,6,27,9,0.988,0.3333
WA,45,207,58,0.9636,0.2802
WI,63,245,82,0.982,0.3347
WV,22,95,51,1.0115,0.5368
WY,8,33,10,0.9854,0.303
